  Frequency            , V(MID)               , V(IN)                , V(OUT)               
  1.288249551693e-02  ,1.663313250487e-07  ,1.000000000000e-01  ,3.682869724086e-02  
  1.291219273614e-02  ,1.667147539032e-07  ,1.000000000000e-01  ,3.691359499992e-02  
  1.294195841450e-02  ,1.670990666165e-07  ,1.000000000000e-01  ,3.699868846053e-02  
  1.297179270984e-02  ,1.674842652254e-07  ,1.000000000000e-01  ,3.708397807374e-02  
  1.300169578033e-02  ,1.678703517770e-07  ,1.000000000000e-01  ,3.716946429170e-02  
  1.303166778452e-02  ,1.682573283149e-07  ,1.000000000000e-01  ,3.725514756756e-02  
  1.306170888132e-02  ,1.686451969002e-07  ,1.000000000000e-01  ,3.734102835553e-02  
  1.309181922999e-02  ,1.690339595938e-07  ,1.000000000000e-01  ,3.742710711087e-02  
  1.312199899019e-02  ,1.694236184221e-07  ,1.000000000000e-01  ,3.751338428988e-02  
  1.315224832192e-02  ,1.698141754981e-07  ,1.000000000000e-01  ,3.759986034991e-02  
  1.318256738556e-02  ,1.702056328550e-07  ,1.000000000000e-01  ,3.768653574939e-02  
  1.321295634187e-02  ,1.705979925782e-07  ,1.000000000000e-01  ,3.777341094776e-02  
  1.324341535195e-02  ,1.709912567528e-07  ,1.000000000000e-01  ,3.786048640557e-02  
  1.327394457730e-02  ,1.713854274713e-07  ,1.000000000000e-01  ,3.794776258439e-02  
  1.330454417978e-02  ,1.717805068153e-07  ,1.000000000000e-01  ,3.803523994687e-02  
  1.333521432163e-02  ,1.721764968632e-07  ,1.000000000000e-01  ,3.812291895673e-02  
  1.336595516546e-02  ,1.725733997315e-07  ,1.000000000000e-01  ,3.821080007876e-02  
  1.339676687426e-02  ,1.729712175334e-07  ,1.000000000000e-01  ,3.829888377881e-02  
  1.342764961138e-02  ,1.733699523506e-07  ,1.000000000000e-01  ,3.838717052380e-02  
  1.345860354056e-02  ,1.737696063205e-07  ,1.000000000000e-01  ,3.847566078175e-02  
  1.348962882592e-02  ,1.741701815387e-07  ,1.000000000000e-01  ,3.856435502174e-02  
  1.352072563194e-02  ,1.745716801566e-07  ,1.000000000000e-01  ,3.865325371393e-02  
  1.355189412351e-02  ,1.749741042975e-07  ,1.000000000000e-01  ,3.874235732956e-02  
  1.358313446587e-02  ,1.753774560641e-07  ,1.000000000000e-01  ,3.883166634098e-02  
