#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B213B5
#Date Time: 2024-02-15 21:21:37.717
#Sample rate: 1e+08Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 3.26429 V Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 50 mV/div Offset: -3.3 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 50 mV/div Offset: -3.3 V Attenuation: 1 X Sample Mode: Average
#Wavegen Channel 1: Enabled
#Mode: Simple
#Type: Sine
#Frequency: 1 MHz
#Period: 1 us
#Amplitude: 20 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
2.538767441860465e-05,3.290262966697441,3.265280417534249
2.539767441860465e-05,3.29160988403684,3.264599734179806
2.540767441860465e-05,3.265008266583699,3.266641784243134
2.541767441860465e-05,3.237059731791157,3.267322467597576
2.542767441860465e-05,3.238406649130557,3.263578709148142
2.543767441860465e-05,3.262987890574599,3.265280417534249
2.544767441860465e-05,3.288916049358041,3.264940075857028
2.545767441860465e-05,3.29262007204139,3.266301442565913
2.546767441860465e-05,3.268038830597348,3.264599734179806
2.547767441860465e-05,3.237396461126007,3.26562075921147
2.548767441860465e-05,3.234029167777508,3.265280417534249
2.549767441860465e-05,3.261977702570049,3.264599734179806
2.550767441860465e-05,3.287905861353491,3.264940075857028
2.551767441860465e-05,3.29228334270654,3.264940075857028
2.552767441860465e-05,3.270395935941297,3.266641784243134
2.553767441860465e-05,3.241437213144206,3.26562075921147
2.554767441860465e-05,3.235712814451758,3.264940075857028
2.555767441860465e-05,3.257263491882151,3.263238367470921
2.556767441860465e-05,3.284538568004992,3.264940075857028
2.557767441860465e-05,3.29329353071109,3.264940075857028
2.558767441860465e-05,3.271069394610997,3.264599734179806
2.559767441860465e-05,3.239416837135106,3.265280417534249
2.560767441860465e-05,3.235376085116908,3.26562075921147
2.561767441860465e-05,3.257936950551851,3.263919050825363
2.562767441860465e-05,3.285212026674692,3.263578709148142
2.563767441860465e-05,3.29228334270654,3.264599734179806
2.564767441860465e-05,3.275110146629195,3.266301442565913
2.565767441860465e-05,3.242784130483605,3.264940075857028
2.566767441860465e-05,3.233692438442658,3.264940075857028
2.567767441860465e-05,3.254569657203352,3.263578709148142
2.568767441860465e-05,3.279824357317094,3.264259392502585
2.569767441860465e-05,3.29194661337169,3.265961100888692
2.570767441860465e-05,3.276793793303445,3.264599734179806
2.571767441860465e-05,3.245814694497254,3.263578709148142
2.572767441860465e-05,3.235039355782058,3.264940075857028
2.573767441860465e-05,3.252212551859402,3.265280417534249
2.574767441860465e-05,3.280161086651944,3.264940075857028
2.575767441860465e-05,3.29262007204139,3.264259392502585
2.576767441860465e-05,3.279487627982244,3.26562075921147
2.577767441860465e-05,3.248845258510904,3.265280417534249
2.578767441860465e-05,3.234702626447208,3.26562075921147
2.579767441860465e-05,3.250192175850303,3.264940075857028
2.580767441860465e-05,3.275783605298895,3.264259392502585
2.581767441860465e-05,3.29329353071109,3.263578709148142
2.582767441860465e-05,3.281508003991343,3.26562075921147
2.583767441860465e-05,3.249855446515453,3.267322467597576
2.584767441860465e-05,3.234029167777508,3.264940075857028
2.585767441860465e-05,3.247835070506354,3.264259392502585
2.586767441860465e-05,3.275446875964045,3.263919050825363
2.587767441860465e-05,3.290262966697441,3.264599734179806
2.588767441860465e-05,3.285212026674692,3.264599734179806
2.589767441860465e-05,3.254232927868502,3.26562075921147
2.590767441860465e-05,3.235039355782058,3.263578709148142
2.591767441860465e-05,3.244467777157855,3.263578709148142
2.592767441860465e-05,3.272753041285246,3.26562075921147
2.593767441860465e-05,3.29228334270654,3.26562075921147
2.594767441860465e-05,3.286222214679242,3.266641784243134
2.595767441860465e-05,3.253559469198802,3.264259392502585
2.596767441860465e-05,3.236386273121457,3.26562075921147
2.597767441860465e-05,3.244131047823005,3.263919050825363
2.598767441860465e-05,3.274436687959496,3.264599734179806
2.599767441860465e-05,3.29059969603229,3.265280417534249
2.600767441860465e-05,3.287905861353491,3.265280417534249
2.601767441860465e-05,3.255579845207901,3.265280417534249
2.602767441860465e-05,3.234702626447208,3.264940075857028
2.603767441860465e-05,3.243794318488155,3.264599734179806
2.604767441860465e-05,3.271069394610997,3.264940075857028
2.605767441860465e-05,3.29093642536714,3.264599734179806
2.606767441860465e-05,3.288579320023191,3.265280417534249
2.607767441860465e-05,3.25861040922155,3.264940075857028
2.608767441860465e-05,3.234365897112358,3.264940075857028
2.609767441860465e-05,3.241773942479055,3.264940075857028
2.610767441860465e-05,3.268712289267047,3.263238367470921
2.611767441860465e-05,3.29262007204139,3.2628980257937
2.612767441860465e-05,3.288916049358041,3.265961100888692
2.613767441860465e-05,3.26063078523065,3.266301442565913
2.614767441860465e-05,3.233355709107808,3.265280417534249
2.615767441860465e-05,3.242110671813906,3.265280417534249
2.616767441860465e-05,3.269385747936747,3.265280417534249
2.617767441860465e-05,3.29059969603229,3.265280417534249
2.618767441860465e-05,3.288242590688341,3.264940075857028
2.619767441860465e-05,3.261640973235199,3.266641784243134
2.620767441860465e-05,3.236049543786607,3.265280417534249
2.621767441860465e-05,3.241437213144206,3.264259392502585
2.622767441860465e-05,3.267702101262497,3.265280417534249
2.623767441860465e-05,3.289589508027741,3.264940075857028
2.624767441860465e-05,3.288579320023191,3.264599734179806
2.625767441860465e-05,3.26130424390035,3.265961100888692
2.626767441860465e-05,3.236049543786607,3.266301442565913
2.627767441860465e-05,3.243457589153305,3.2628980257937
2.628767441860465e-05,3.266691913257948,3.264940075857028
2.629767441860465e-05,3.287232402683792,3.264259392502585
2.630767441860465e-05,3.285885485344392,3.265961100888692
2.631767441860465e-05,3.262651161239749,3.265280417534249
2.632767441860465e-05,3.239080107800256,3.26562075921147
2.633767441860465e-05,3.241437213144206,3.263919050825363
2.634767441860465e-05,3.265008266583699,3.265280417534249
2.635767441860465e-05,3.286558944014092,3.264940075857028
2.636767441860465e-05,3.286895673348942,3.265280417534249
2.637767441860465e-05,3.261977702570049,3.266301442565913
